@relation 'White-TailedDeerWithMonths - Sheet1'

@attribute VegetationType {'Upland Forest','Riparian Grassland','Riparian Forest',Grassland/Prairie,'Mowed Lawn','Outside Park','Upland Scrub',Crop,'Riparian Scrub',Other,Savanna}
@attribute Month numeric
@attribute AvgTempinFahrenheit numeric
@attribute AvgHumidityInPercent numeric
@attribute WeatherCondition {'No rain','No rain to Heavy rain difficult to hear',Snow,'No rain to Snow','Mist or fog','Mist or fog to No rain','Mist or fog to Light rain','No rain to Light rain','Light rain to Mist or fog','Light rain','Light drizzle to Light rain','No rain to Light drizzle','No rain to Mist or fog','Snow to No rain','Light drizzle to No rain','Light rain to Light drizzle','Light drizzle','Light rain to No rain','Light drizzle to Mist or fog','Mist or fog to Light drizzle'}
@attribute AvgCloudCover numeric
@attribute DeerTotal numeric

@data
'Upland Forest',3,52.52,20.95,'No rain',15,10
'Riparian Grassland',3,52.52,20.95,'No rain',15,10
'Riparian Forest',3,52.52,20.95,'No rain',15,10
'Upland Forest',3,52.52,20.95,'No rain',15,10
'Upland Forest',3,56.03,15.95,'No rain',15,12
'Upland Forest',3,56.03,15.95,'No rain',15,12
'Riparian Grassland',3,56.03,15.95,'No rain',15,12
'Riparian Grassland',3,56.03,15.95,'No rain',15,12
'Upland Forest',3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
'Riparian Grassland',3,51.26,30.7,'No rain',62.5,55
'Riparian Forest',3,51.26,30.7,'No rain',62.5,55
'Riparian Grassland',3,46.04,67.4,'No rain',0,15
'Riparian Grassland',3,46.04,67.4,'No rain',0,15
'Riparian Grassland',3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,51.26,30.7,'No rain',62.5,55
'Riparian Forest',3,51.26,30.7,'No rain',62.5,55
Grassland/Prairie,3,50.27,59.65,'No rain',0,43
'Riparian Grassland',3,50.27,59.65,'No rain',0,43
